"id","timecode","priority","status","category","description","source_url","rights_status","suggested_filename","edit_notes"
"G23","7:14–7:39","P0","GENERATE","editorial map prop","Lost letter and broken route","internal prompt 04","AI-generated","G23_lost-letter-route_v01.png","Also make transparent packet cutouts"
"G24","8:05–9:10","P0","GENERATE","archive still","Sparse archive folder for Pernette","internal prompt 04","AI-generated","G24_sparse-folder_v01.png","No grief/death symbols"
"G25","9:58–10:40","P1","GENERATE","overlay pack","Historical paper-edge layers","internal prompt 04","AI-generated","G25_timeline-paper-layers_v01.png","Six eras; no text"
"G26","10:40–11:00","P0","GENERATE","archive still","Thin biography versus dense ledger","internal prompt 04","AI-generated","G26_biography-vs-ledger_v01.png","No fake handwriting"
"G27","12:03–12:10","P1","GENERATE","editorial end visual","Thirty life threads beyond page","internal prompt 04","AI-generated","G27_thirty-life-threads_v01.png","Exactly thirty threads"
"G28","end card","P2","GENERATE","end-card background","Map and ivory end-card field","internal prompt 04","AI-generated","G28_end-card-background_v01.png","No text"
"F01","all document beats","P0","BUILD","Fusion system","Document focus and source footer rig","internal spec 03","original build","F01_document-focus.comp","Underline exact row; readable source"
"F02","0:11; 3:28; 9:22; 11:13","P0","BUILD","Fusion system","Thirty-life marker grid","internal spec 03","original build","F02_thirty-marker-grid.comp","5x6; verified states only"
"F03","2:20–3:01; 11:13","P0","BUILD","Fusion system","Rente viagere diagram","internal spec 03","original build","F03_annuity-diagram.comp","Three steps; one arrow at a time"
"F04","0:50; 11:00","P1","BUILD","Fusion graphic","Alive/payment binary","internal spec 03","original build","F04_alive-payment.setting","Muted red only on stop"
"F05","1:03–1:10","P1","BUILD","Fusion graphic","27 morning and 100+ afternoon count board","internal spec 03","original build","F05_headcount-board.comp","Keep separate from 1782 list"
"F06","1:17–2:20; 11:00","P1","VERIFY","Fusion graphic","Verified thirty-name index","internal spec 03","original build","F06_thirty-name-index.comp","Do not build from OCR alone"
"F07","1:40–2:05","P1","BUILD","Fusion graphic","Age-range strip","internal spec 03","original build","F07_age-strip.comp","Under one to eight"
"F08","0:57; 6:20–7:39","P0","BUILD","Fusion map","Proof-of-life route map","internal spec 03","original build","F08_route-map.comp","Geneva Paris Bern Lyon Marseille England"
"F09","2:05–2:12","P1","VERIFY","Fusion graphic","Daughter/father pairing","internal spec 03","original build","F09_father-daughter.setting","Only verified pairs"
"F10","2:52–3:01","P2","BUILD","title card","Rente viagere definition","internal spec 03","original build","F10_rente-definition.setting","Cramer source footer"
"F11","3:01–3:14","P1","BUILD","diagram","Owner versus measuring life","internal spec 03","original build","F11_owner-vs-life.comp","Separate roles"
"F12","3:14–3:28","P1","BUILD","diagram","Six-sister split","internal spec 03","original build","F12_six-sister-split.comp","Spang Diodati example"
"F13","3:40–4:04","P1","VERIFY","diagram","Known-family surname network","internal spec 03","original build","F13_surname-network.comp","Do not imply unverified kinship"
"F14","4:15–4:27","P1","BUILD","comparison graphic","Historical selection logic","internal spec 03","original build","F14_selection-logic.comp","Attribute to Cramer"
"F15","4:27–4:49","P2","BUILD","mini map","Stay or leave Geneva","internal spec 03","original build","F15_stay-leave.comp","No war montage"
"F16","5:00–5:20; 11:42","P0","BUILD","document graphic","Signature absence card","internal spec 03","original build","F16_signature-absence.comp","Three blank lines"
"F17","6:09–6:20; 7:39–7:52; 11:27","P1","VERIFY","name graphic","Surname and address change card","internal spec 03","original build","F17_surname-change.setting","Keep original name visible"
"F18","6:40–8:05","P0","BUILD","explainer graphic","Proof-of-life field explainer","internal spec 03","original build","F18_proof-fields.comp","Label illustrative"
"F19","7:14–7:39","P1","BUILD","ledger graphic","Four half-years overdue","internal spec 03","original build","F19_four-half-years.comp","Bertrand/Wickham; Cramer 118–19"
"F20","7:39–7:52","P1","BUILD","ledger graphic","Six half-years overdue","internal spec 03","original build","F20_six-half-years.comp","Rolaz/de Boisy; Cramer 118–19"
"F21","1:49; 8:05–8:43","P0","VERIFY","name card","Pernette name and date card","internal spec 03","original build","F21_pernette-card.comp","Exact scan transcription"
"F22","8:43–8:57","P0","VERIFY","hero number","212197-livre figure","internal spec 03","original build","F22_212197-livres.comp","Attribute as Cramer reconstruction"
"F23","8:57–9:10","P1","BUILD","ledger graphic","Payment line stops","internal spec 03","original build","F23_ledger-stop.comp","Quiet single rule"
"F24","9:10–9:22","P1","VERIFY","mortality cards","Colombine Jeanne and later pool","internal spec 03","original build","F24_mortality-cards.comp","Verify p.116 wording"
"F25","9:47–11:00","P0","VERIFY","timeline","Elisabeth-Pauline 1778–1862 life bar","internal spec 03","original build","F25_elisabeth-timeline.comp","Minimal event ticks"
"F26","10:40–11:00","P1","BUILD","archive graphic","Thin biography folder index","internal spec 03","original build","F26_thin-biography.comp","Unknown stays unknown"
"F27","11:27–11:53","P1","VERIFY","name graphic","Names across marriage travel and addresses","internal spec 03","original build","F27_names-through-life.comp","Use only sourced changes"
